road_type,weather,light,traffic,temperature,battery,vehicle_weight,correct_action,predicted_action,verdict
Semi Urban,Snow,night,moderate,1,10,2306.46,Pull over,Reduce speed,Risky
Semi Urban,Rainy,day,moderate,19,26,1519.77,Reduce speed,Reduce speed,Optimal
Highway,Rainy,day,no,15,29,1934.8,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Rainy,night,high,-1,62,1930.82,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,night,no,20,45,1837.17,Turn on headlights,Reduce speed,Risky
Rural,Sunny,day,no,26,66,2200.56,Maintain speed,Pull over,Risky
Rural,Sunny,night,no,-10,74,1637.92,Turn on headlights,Maintain speed,Risky
Semi Urban,Sunny,day,high,24,14,2485.88,Pull over,Pull over,Optimal
Rural,Foggy,day,high,23,65,2145.95,Maintain speed,Turn on headlights,Risky
Semi Urban,Rainy,night,high,9,57,2170.73,Reduce speed,Reduce speed,Optimal
Rural,Snow,day,moderate,5,92,1842.99,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,moderate,-2,72,1742.68,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,6,21,2060.5,Activate hazard lights,Activate hazard lights,Optimal
Highway,Sunny,night,no,2,29,1951.62,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,high,37,82,1953.97,Reduce speed,Turn on headlights,Risky
Rural,Sunny,day,high,23,58,2145.59,Maintain speed,Reduce speed,Risky
Rural,Foggy,night,high,3,89,2386.92,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,moderate,11,86,1811.08,Maintain speed,Activate hazard lights,Risky
Semi Urban,Foggy,night,no,29,74,1991.66,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,no,-2,46,1892.41,Turn on headlights,Activate hazard lights,Risky
Highway,Sunny,day,no,2,33,2191.35,Maintain speed,Pull over,Risky
Semi Urban,Foggy,day,high,22,88,1716.41,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,no,22,13,2165.08,Pull over,Maintain speed,Unsafe
Rural,Snow,night,moderate,0,76,2053.13,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,moderate,18,33,1842.91,Reduce speed,Reduce speed,Optimal
Semi Urban,Snow,night,high,3,16,1708.07,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,day,no,30,74,1815.56,Maintain speed,Reduce speed,Risky
Rural,Sunny,day,high,32,29,1519.57,Activate hazard lights,Pull over,Risky
Semi Urban,Snow,day,moderate,-7,13,1964.66,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,high,8,27,1658.26,Reduce speed,Pull over,Risky
Rural,Sunny,day,no,34,23,2118.15,Activate hazard lights,Maintain speed,Risky
Rural,Rainy,night,moderate,25,85,1785.09,Turn on headlights,Reduce speed,Risky
Semi Urban,Rainy,day,no,28,23,2335.13,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Rainy,day,high,37,65,1516.86,Reduce speed,Turn on headlights,Risky
Highway,Rainy,night,high,12,57,1788.17,Reduce speed,Pull over,Risky
Semi Urban,Sunny,day,high,33,37,1779.12,Maintain speed,Activate hazard lights,Risky
Rural,Sunny,night,moderate,38,15,1855.23,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,moderate,14,40,2484.52,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,high,24,32,2014.85,Reduce speed,Turn on headlights,Risky
Rural,Sunny,night,moderate,28,39,2140.7,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,moderate,10,61,2209.61,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,day,high,0,38,2458.71,Reduce speed,Maintain speed,Risky
Semi Urban,Sunny,night,high,2,29,1682.49,Reduce speed,Maintain speed,Risky
Rural,Foggy,night,high,19,12,2334.61,Pull over,Pull over,Optimal
Semi Urban,Snow,night,moderate,-6,64,1967.31,Reduce speed,Pull over,Risky
Highway,Sunny,day,high,12,80,1619.53,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,no,20,10,1701.74,Pull over,Activate hazard lights,Acceptable
Semi Urban,Foggy,night,high,16,60,1942.52,Reduce speed,Pull over,Risky
Semi Urban,Rainy,night,high,9,55,2120.77,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,no,39,20,2146.11,Activate hazard lights,Pull over,Risky
Semi Urban,Foggy,day,high,16,61,1961.81,Maintain speed,Pull over,Risky
Rural,Foggy,night,no,27,62,2236.96,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,high,28,27,2233.91,Reduce speed,Activate hazard lights,Acceptable
Highway,Sunny,night,high,25,85,2394.05,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,high,28,83,2385.89,Reduce speed,Turn on headlights,Risky
Semi Urban,Foggy,day,high,6,90,1541.5,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,high,-3,42,2266.23,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,no,10,60,1675.62,Turn on headlights,Activate hazard lights,Risky
Rural,Sunny,day,high,9,14,2324.36,Pull over,Pull over,Optimal
Semi Urban,Rainy,night,high,-1,97,1675.8,Reduce speed,Pull over,Risky
Highway,Foggy,night,moderate,-7,73,1614.65,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,moderate,24,45,2443.31,Turn on headlights,Pull over,Risky
Rural,Foggy,night,high,37,20,1655.08,Reduce speed,Pull over,Risky
Highway,Foggy,day,high,24,89,2070.38,Maintain speed,Turn on headlights,Risky
Semi Urban,Sunny,night,high,3,90,2441.05,Reduce speed,Activate hazard lights,Acceptable
Rural,Foggy,night,moderate,27,30,1620.24,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,high,11,82,1511.7,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,moderate,24,63,2084.21,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,moderate,9,63,2341.64,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,no,33,82,2030.83,Maintain speed,Reduce speed,Risky
Rural,Sunny,day,moderate,-10,19,1684.44,Activate hazard lights,Turn on headlights,Risky
Highway,Rainy,day,moderate,21,46,1807.59,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,no,12,75,1658.32,Turn on headlights,Maintain speed,Risky
Rural,Snow,night,no,-1,79,1842.74,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,moderate,28,40,2396.82,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,high,8,78,2322.63,Maintain speed,Activate hazard lights,Risky
Rural,Foggy,day,high,34,23,2361.13,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Sunny,day,no,26,36,2110.92,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,no,25,11,1777.83,Pull over,Pull over,Optimal
Semi Urban,Rainy,day,no,33,97,1879.57,Maintain speed,Turn on headlights,Risky
Semi Urban,Sunny,night,moderate,25,17,2348.02,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,moderate,24,60,2344.09,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,no,23,52,2075.26,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,no,12,81,1764.03,Maintain speed,Activate hazard lights,Risky
Rural,Foggy,night,high,10,49,1633.99,Reduce speed,Maintain speed,Risky
Rural,Rainy,day,high,2,89,2357.56,Reduce speed,Pull over,Risky
Semi Urban,Sunny,night,no,-9,78,2232.09,Turn on headlights,Turn on headlights,Optimal
Rural,Snow,day,no,-7,76,2214.03,Reduce speed,Maintain speed,Risky
Rural,Foggy,night,moderate,-1,55,1966.52,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Rainy,night,moderate,33,55,2358.49,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,high,30,15,2063.42,Activate hazard lights,Reduce speed,Risky
Highway,Foggy,day,moderate,34,60,2113.7,Maintain speed,Pull over,Risky
Highway,Sunny,day,high,1,55,2438.61,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,moderate,26,45,2058.36,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,no,5,31,2286.74,Maintain speed,Pull over,Risky
Semi Urban,Rainy,night,high,-5,32,1777.2,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,moderate,10,33,1861.96,Maintain speed,Maintain speed,Optimal
Highway,Sunny,day,high,25,79,1732.82,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,moderate,28,15,1890.8,Activate hazard lights,Maintain speed,Risky
Semi Urban,Rainy,night,moderate,33,63,2405.33,Turn on headlights,Pull over,Risky
Rural,Sunny,night,moderate,0,65,1718.18,Turn on headlights,Turn on headlights,Optimal
Highway,Snow,night,no,-3,40,2472.58,Reduce speed,Maintain speed,Risky
Rural,Rainy,day,no,6,29,1836.33,Activate hazard lights,Maintain speed,Risky
Highway,Snow,day,no,-1,42,1619.08,Reduce speed,Turn on headlights,Risky
Rural,Rainy,day,moderate,-1,19,2457.58,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,moderate,19,16,2370.6,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,no,21,21,1665.71,Activate hazard lights,Reduce speed,Risky
Rural,Foggy,day,moderate,30,82,2470.55,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,high,19,62,1722.95,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,night,moderate,-1,92,1793.27,Turn on headlights,Activate hazard lights,Risky
Rural,Sunny,night,no,15,13,2465.76,Pull over,Pull over,Optimal
Semi Urban,Rainy,night,no,36,11,2228.43,Pull over,Turn on headlights,Risky
Semi Urban,Snow,day,moderate,-6,100,2338.68,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,moderate,21,27,1847.09,Turn on headlights,Maintain speed,Risky
Highway,Rainy,night,no,22,92,1981.21,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,moderate,32,56,2468.52,Maintain speed,Reduce speed,Risky
Rural,Sunny,day,moderate,13,51,2451.3,Maintain speed,Pull over,Risky
Semi Urban,Snow,night,moderate,4,81,1549.66,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,high,-5,88,1815.79,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,moderate,9,23,2286.11,Turn on headlights,Pull over,Risky
Highway,Sunny,day,moderate,38,83,2149.82,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,no,5,39,2339.14,Maintain speed,Reduce speed,Risky
Semi Urban,Foggy,night,no,7,97,2096.67,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,night,no,32,84,1777.25,Turn on headlights,Reduce speed,Risky
Rural,Sunny,day,moderate,-5,63,2239.82,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,moderate,12,82,1868.55,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,day,high,37,61,2348.48,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,moderate,33,71,2026.63,Maintain speed,Turn on headlights,Risky
Semi Urban,Rainy,night,moderate,29,31,1892.54,Turn on headlights,Activate hazard lights,Risky
Rural,Sunny,night,no,-1,42,1579.04,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Rainy,day,moderate,-5,77,2302.05,Reduce speed,Maintain speed,Risky
Highway,Rainy,day,moderate,24,37,1679.16,Reduce speed,Pull over,Risky
Rural,Sunny,night,moderate,-8,46,1701.04,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,high,-2,24,2498.95,Reduce speed,Turn on headlights,Risky
Highway,Snow,day,no,-8,21,2384.21,Reduce speed,Activate hazard lights,Acceptable
Highway,Foggy,day,no,23,76,2060.42,Maintain speed,Reduce speed,Risky
Highway,Snow,night,moderate,5,48,2225.26,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,no,30,33,2060.24,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Sunny,night,moderate,28,30,2129.26,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,no,-2,37,2091.96,Maintain speed,Reduce speed,Risky
Rural,Rainy,day,moderate,28,35,2009.36,Reduce speed,Activate hazard lights,Acceptable
Rural,Rainy,day,no,19,15,1594.09,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Foggy,day,moderate,-4,53,2384.27,Maintain speed,Pull over,Risky
Rural,Sunny,day,no,26,46,1798.07,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,no,25,79,1632.8,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,high,-2,36,1502.15,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,no,16,22,1569.96,Activate hazard lights,Pull over,Risky
Rural,Sunny,day,high,23,30,1808.73,Maintain speed,Pull over,Risky
Semi Urban,Foggy,night,no,11,19,1943.33,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,night,no,33,77,2020.2,Turn on headlights,Reduce speed,Risky
Rural,Rainy,night,no,25,78,1532.37,Turn on headlights,Maintain speed,Risky
Rural,Rainy,day,high,11,70,2017.82,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,no,23,21,1888.81,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Foggy,night,high,33,32,2095.27,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,no,-5,61,1962.11,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,32,39,2127.73,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,no,-3,70,2195.56,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,high,25,100,1614.64,Reduce speed,Pull over,Risky
Semi Urban,Sunny,day,moderate,37,88,1749.71,Maintain speed,Pull over,Risky
Highway,Rainy,day,moderate,24,94,1811.23,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,no,16,45,1774.0,Maintain speed,Pull over,Risky
Rural,Foggy,day,high,19,68,1674.68,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,31,51,2485.68,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,moderate,3,79,2120.91,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,no,33,64,2233.9,Maintain speed,Turn on headlights,Risky
Rural,Snow,day,high,3,46,1839.69,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,no,-6,31,1683.48,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,no,25,43,2397.52,Maintain speed,Pull over,Risky
Highway,Foggy,night,high,3,17,2324.37,Reduce speed,Turn on headlights,Risky
Semi Urban,Sunny,day,high,13,77,2133.49,Maintain speed,Turn on headlights,Risky
Highway,Sunny,night,no,18,14,1974.33,Pull over,Activate hazard lights,Acceptable
Semi Urban,Rainy,day,moderate,19,31,2282.9,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,moderate,34,94,1884.13,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,no,-7,64,1620.16,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,day,moderate,24,21,2117.44,Activate hazard lights,Activate hazard lights,Optimal
Highway,Rainy,day,no,2,25,1545.82,Activate hazard lights,Reduce speed,Risky
Semi Urban,Foggy,night,moderate,11,17,2298.01,Turn on headlights,Activate hazard lights,Risky
Rural,Rainy,day,moderate,10,90,2223.93,Reduce speed,Pull over,Risky
Semi Urban,Sunny,day,moderate,7,54,2179.62,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,no,35,41,2492.51,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,high,36,75,1631.31,Reduce speed,Maintain speed,Risky
Rural,Rainy,night,moderate,-2,25,1842.33,Turn on headlights,Pull over,Risky
Highway,Rainy,night,high,20,42,2276.79,Reduce speed,Turn on headlights,Risky
Semi Urban,Rainy,night,moderate,38,99,1962.09,Turn on headlights,Pull over,Risky
Rural,Foggy,night,moderate,26,88,1828.71,Turn on headlights,Pull over,Risky
Highway,Snow,night,no,-4,74,1865.71,Reduce speed,Reduce speed,Optimal
Rural,Sunny,day,high,-1,53,1589.99,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,no,6,43,1720.34,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,no,4,73,1608.94,Turn on headlights,Reduce speed,Risky
Highway,Rainy,night,high,-10,42,1523.91,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,night,no,36,73,2161.54,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,high,12,24,2301.29,Reduce speed,Reduce speed,Optimal
Highway,Foggy,day,moderate,17,90,2273.54,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,high,20,86,2452.49,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,moderate,17,63,1567.65,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Rainy,night,moderate,11,73,1680.66,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,no,33,69,2337.69,Turn on headlights,Maintain speed,Risky
Rural,Rainy,day,high,5,35,2126.18,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,moderate,2,94,2134.97,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,moderate,30,23,2308.53,Turn on headlights,Maintain speed,Risky
Rural,Rainy,night,no,23,62,1848.09,Turn on headlights,Reduce speed,Risky
Semi Urban,Sunny,night,moderate,22,59,2329.69,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,moderate,19,77,2297.78,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,high,26,71,1894.38,Maintain speed,Maintain speed,Optimal
Semi Urban,Snow,night,moderate,-5,32,1521.67,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,moderate,32,76,2111.2,Turn on headlights,Maintain speed,Risky
Rural,Foggy,night,moderate,10,88,2469.73,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,high,7,95,1536.33,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,moderate,6,80,1588.38,Turn on headlights,Pull over,Risky
Rural,Snow,night,no,-3,37,2282.38,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,moderate,15,48,2350.69,Turn on headlights,Reduce speed,Risky
Rural,Rainy,night,high,8,98,2415.18,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,high,34,84,2425.21,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,moderate,33,29,2177.13,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Rainy,day,moderate,-10,28,1942.7,Reduce speed,Maintain speed,Risky
Rural,Sunny,night,no,2,34,1658.74,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,no,36,97,2454.22,Turn on headlights,Reduce speed,Risky
Semi Urban,Sunny,day,no,-10,87,2129.81,Maintain speed,Pull over,Risky
Semi Urban,Sunny,day,high,0,11,1696.92,Pull over,Reduce speed,Risky
Semi Urban,Sunny,day,no,-8,99,1779.32,Maintain speed,Reduce speed,Risky
Highway,Snow,night,moderate,-5,55,2263.91,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,high,8,76,2164.8,Reduce speed,Turn on headlights,Risky
Rural,Foggy,day,high,5,67,1825.51,Maintain speed,Turn on headlights,Risky
Rural,Foggy,day,high,-2,24,1796.93,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Sunny,day,high,1,49,1541.3,Maintain speed,Activate hazard lights,Risky
Semi Urban,Rainy,day,no,39,76,1762.79,Maintain speed,Turn on headlights,Risky
Highway,Rainy,day,high,0,71,2434.09,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,high,36,73,1638.7,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,moderate,26,72,2208.02,Reduce speed,Reduce speed,Optimal
Highway,Foggy,day,moderate,-9,94,1562.19,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,high,37,50,1581.86,Reduce speed,Pull over,Risky
Highway,Snow,day,high,-2,28,2007.43,Reduce speed,Pull over,Risky
Highway,Rainy,night,high,26,33,2062.69,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,no,31,28,2130.77,Activate hazard lights,Activate hazard lights,Optimal
Rural,Foggy,day,moderate,27,16,2098.92,Activate hazard lights,Activate hazard lights,Optimal
Highway,Sunny,day,moderate,27,93,2190.56,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,high,17,87,2455.77,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,high,38,84,1733.72,Reduce speed,Reduce speed,Optimal
Highway,Rainy,day,no,36,46,1893.55,Maintain speed,Maintain speed,Optimal
Rural,Snow,night,high,-8,63,1737.72,Reduce speed,Turn on headlights,Risky
Highway,Rainy,day,no,36,48,2173.32,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,high,-2,98,2311.94,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Snow,night,no,4,83,2273.42,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,no,-3,88,1992.44,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,moderate,9,41,1620.14,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,high,35,65,2439.48,Reduce speed,Turn on headlights,Risky
Rural,Rainy,day,no,9,65,1762.53,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,moderate,-3,20,2163.09,Turn on headlights,Maintain speed,Risky
Rural,Snow,day,moderate,3,25,2025.75,Activate hazard lights,Turn on headlights,Risky
Rural,Rainy,night,moderate,33,50,1969.13,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,no,0,40,1695.02,Maintain speed,Pull over,Risky
Rural,Rainy,night,high,4,48,1617.66,Reduce speed,Activate hazard lights,Acceptable
Highway,Sunny,day,moderate,34,37,1865.57,Maintain speed,Activate hazard lights,Risky
Semi Urban,Foggy,night,no,25,67,2486.32,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,night,moderate,31,49,2320.19,Turn on headlights,Reduce speed,Risky
Semi Urban,Rainy,day,no,38,95,1797.43,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,high,-1,26,1826.98,Activate hazard lights,Activate hazard lights,Optimal
Rural,Rainy,day,moderate,30,24,2145.52,Reduce speed,Turn on headlights,Risky
Semi Urban,Rainy,day,moderate,37,70,1880.73,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,high,7,66,1836.33,Maintain speed,Turn on headlights,Risky
Highway,Foggy,night,moderate,8,10,1678.54,Pull over,Activate hazard lights,Acceptable
Rural,Rainy,night,moderate,7,92,2449.3,Turn on headlights,Reduce speed,Risky
Rural,Rainy,night,moderate,7,71,1870.03,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,moderate,26,11,1686.38,Pull over,Activate hazard lights,Acceptable
Rural,Rainy,night,high,14,79,2493.55,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,high,10,11,1912.66,Pull over,Turn on headlights,Risky
Semi Urban,Foggy,day,no,13,46,2245.99,Maintain speed,Activate hazard lights,Risky
Semi Urban,Sunny,night,moderate,20,58,2110.88,Turn on headlights,Turn on headlights,Optimal
